team,season,game_date,points,is_home,goals_for,goals_against,cum_points,games_played,elimination_date,clinch_date,trade_deadline
ARI,20212022,2022-01-06,2,TRUE,6,4,17,32,2022-02-11,NA,2022-03-21
ARI,20212022,2022-01-08,0,TRUE,2,4,17,33,2022-02-11,NA,2022-03-21
ARI,20212022,2022-01-12,2,TRUE,2,1,19,34,2022-02-11,NA,2022-03-21
ARI,20212022,2022-01-14,1,FALSE,3,4,20,35,2022-02-11,NA,2022-03-21
ARI,20212022,2022-01-15,0,TRUE,0,5,20,36,2022-02-11,NA,2022-03-21
ARI,20212022,2022-01-17,2,TRUE,5,2,22,37,2022-02-11,NA,2022-03-21
ARI,20212022,2022-01-19,2,FALSE,4,1,24,38,2022-02-11,NA,2022-03-21
ARI,20212022,2022-01-21,0,FALSE,0,4,24,39,2022-02-11,NA,2022-03-21
ARI,20212022,2022-01-22,0,FALSE,3,7,24,40,2022-02-11,NA,2022-03-21
ARI,20212022,2022-01-25,0,FALSE,3,6,24,41,2022-02-11,NA,2022-03-21
ARI,20212022,2022-01-28,0,TRUE,1,2,24,42,2022-02-11,NA,2022-03-21
ARI,20212022,2022-01-29,0,TRUE,1,3,24,43,2022-02-11,NA,2022-03-21
ARI,20212022,2022-02-01,2,FALSE,3,2,26,44,2022-02-11,NA,2022-03-21
ARI,20212022,2022-02-02,0,TRUE,2,4,26,45,2022-02-11,NA,2022-03-21
